Messstelle:                Zwettl (Sportplatzbrücke)
HZB-Nummer:                207936
HD-Nummer:                 no260
DBMS-Nummer:               3001033
Gewässer:                  Zwettl
Sachgebiet:                OWF
Dienststelle:              HD-Niederösterreich
Messstellenbetreiber:      Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: 269.10
Pegelnullpunkt:
  gültig seit:             Höhe [m ü.A.]:
   07.06.1950              516.00
   01.01.1977              514.41
   31.10.1984              514.00
   05.06.1986              514.66
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
  gültig seit:             Länge (Grad,Min,Sek):    Breite  (Grad,Min,Sek):
   31.10.1984              15 09 41                 48 36 30
Exportzeitreihe:           Abgeleitete Intervallzeitreihe
                           Abfluss,I,Mit,T,1,M,Z,0,,,
Ursprungszeitreihe:        Abfluss,K,,,0,F,Z,0,,, - Hauptreihe
Transformation:            Mittel
Mittelungsintervall:       1 Tag
Exportqualität:            MAXQUAL
Einheit:                   m³/s
Exportzeitraum:            01.01.2012 00:00 bis 01.01.2016 00:00
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               3 Nachkommast.
Werte:
01.01.2012 00:00:00        0.553
02.01.2012 00:00:00        0.623
03.01.2012 00:00:00        0.760
04.01.2012 00:00:00        0.724
05.01.2012 00:00:00        0.737
06.01.2012 00:00:00        1.152
07.01.2012 00:00:00        0.974
08.01.2012 00:00:00        0.854
09.01.2012 00:00:00        0.855
10.01.2012 00:00:00        0.950
11.01.2012 00:00:00        1.077
12.01.2012 00:00:00        0.986
13.01.2012 00:00:00        1.010
14.01.2012 00:00:00        1.009
15.01.2012 00:00:00        0.825
16.01.2012 00:00:00        0.695
17.01.2012 00:00:00        0.819
18.01.2012 00:00:00        0.907
19.01.2012 00:00:00        1.168
20.01.2012 00:00:00        3.794
21.01.2012 00:00:00        2.429
22.01.2012 00:00:00        3.163
23.01.2012 00:00:00        3.058
24.01.2012 00:00:00        2.641
25.01.2012 00:00:00        2.272
26.01.2012 00:00:00        1.876
27.01.2012 00:00:00        1.365
28.01.2012 00:00:00        1.391
29.01.2012 00:00:00        1.391
30.01.2012 00:00:00        1.391
31.01.2012 00:00:00        1.396
01.02.2012 00:00:00        1.533
02.02.2012 00:00:00        1.574
03.02.2012 00:00:00        1.572
04.02.2012 00:00:00        1.550
05.02.2012 00:00:00        1.521
06.02.2012 00:00:00        1.491
07.02.2012 00:00:00        1.451
08.02.2012 00:00:00        1.406
09.02.2012 00:00:00        1.470
10.02.2012 00:00:00        1.603
11.02.2012 00:00:00        1.707
12.02.2012 00:00:00        1.546
13.02.2012 00:00:00        2.742
14.02.2012 00:00:00        3.114
15.02.2012 00:00:00        3.443
16.02.2012 00:00:00        3.389
17.02.2012 00:00:00        3.366
18.02.2012 00:00:00        3.448
19.02.2012 00:00:00        3.448
20.02.2012 00:00:00        3.280
21.02.2012 00:00:00        2.793
22.02.2012 00:00:00        2.645
23.02.2012 00:00:00        2.680
24.02.2012 00:00:00        4.325
25.02.2012 00:00:00        7.853
26.02.2012 00:00:00        4.445
27.02.2012 00:00:00        2.991
28.02.2012 00:00:00        2.287
29.02.2012 00:00:00        5.194
01.03.2012 00:00:00        5.343
02.03.2012 00:00:00        4.314
03.03.2012 00:00:00        3.752
04.03.2012 00:00:00        3.132
05.03.2012 00:00:00        2.789
06.03.2012 00:00:00        2.505
07.03.2012 00:00:00        2.284
08.03.2012 00:00:00        2.211
09.03.2012 00:00:00        2.102
10.03.2012 00:00:00        1.971
11.03.2012 00:00:00        1.970
12.03.2012 00:00:00        2.019
13.03.2012 00:00:00        2.434
14.03.2012 00:00:00        2.546
15.03.2012 00:00:00        2.348
16.03.2012 00:00:00        2.176
17.03.2012 00:00:00        2.115
18.03.2012 00:00:00        2.055
19.03.2012 00:00:00        1.967
20.03.2012 00:00:00        1.858
21.03.2012 00:00:00        1.749
22.03.2012 00:00:00        1.660
23.03.2012 00:00:00        1.620
24.03.2012 00:00:00        1.573
25.03.2012 00:00:00        1.544
26.03.2012 00:00:00        1.444
27.03.2012 00:00:00        1.290
28.03.2012 00:00:00        1.285
29.03.2012 00:00:00        1.257
30.03.2012 00:00:00        1.279
31.03.2012 00:00:00        1.279
01.04.2012 00:00:00        1.279
02.04.2012 00:00:00        1.271
03.04.2012 00:00:00        1.205
04.04.2012 00:00:00        1.127
05.04.2012 00:00:00        1.071
06.04.2012 00:00:00        1.040
07.04.2012 00:00:00        1.040
08.04.2012 00:00:00        1.040
09.04.2012 00:00:00        1.010
10.04.2012 00:00:00        0.926
11.04.2012 00:00:00        0.903
12.04.2012 00:00:00        1.170
