Messstelle:                ;Altschlaining
HZB-Nummer:                ;210245
HD-Nummer:                 ;
DBMS-Nummer:               ;1001022
Gewässer:                  ;Tauchenbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;89,20
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;316,78
   01.01.1988              ;315,78
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
  gültig seit:             ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
   01.01.1953              ;16 17 11                 ;47 18 50
Exportzeitreihe:           ;Abgeleitete Intervallzeitreihe
                           ;Abfluss,I,Mit,E,720,M,Z,0,,,
Ursprungszeitreihe:        ;Abfluss,K,,,0,F,Z,0,,, - Hauptreihe
Transformation:            ;Mittel
Mittelungsintervall:       ;1 Stunde
Exportqualität:            ;MAXQUAL
Einheit:                   ;m³/s
Exportzeitraum:            ;01.01.2011 00:00; bis ;01.10.2015 00:00
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;3 Nachkommast.
Werte:
01.01.2011 00:00:00   ;     0,574
01.01.2011 01:00:00   ;     0,574
01.01.2011 02:00:00   ;     0,574
01.01.2011 03:00:00   ;     0,574
01.01.2011 04:00:00   ;     0,558
01.01.2011 05:00:00   ;     0,532
01.01.2011 06:00:00   ;     0,532
01.01.2011 07:00:00   ;     0,532
01.01.2011 08:00:00   ;     0,532
01.01.2011 09:00:00   ;     0,532
01.01.2011 10:00:00   ;     0,532
01.01.2011 11:00:00   ;     0,532
01.01.2011 12:00:00   ;     0,532
01.01.2011 13:00:00   ;     0,532
01.01.2011 14:00:00   ;     0,533
01.01.2011 15:00:00   ;     0,533
01.01.2011 16:00:00   ;     0,533
01.01.2011 17:00:00   ;     0,533
01.01.2011 18:00:00   ;     0,533
01.01.2011 19:00:00   ;     0,533
01.01.2011 20:00:00   ;     0,533
01.01.2011 21:00:00   ;     0,533
01.01.2011 22:00:00   ;     0,533
01.01.2011 23:00:00   ;     0,533
02.01.2011 00:00:00   ;     0,534
02.01.2011 01:00:00   ;     0,534
02.01.2011 02:00:00   ;     0,534
02.01.2011 03:00:00   ;     0,534
02.01.2011 04:00:00   ;     0,534
02.01.2011 05:00:00   ;     0,534
02.01.2011 06:00:00   ;     0,534
02.01.2011 07:00:00   ;     0,534
02.01.2011 08:00:00   ;     0,534
02.01.2011 09:00:00   ;     0,535
02.01.2011 10:00:00   ;     0,535
