Messstelle:                ;Ebental, Blt 223
HZB-Nummer:                ;338715
HD-Nummer:                 ;
DBMS-Nummer:               ;2002137
PorenGW-Gebiet:            ;442 Klagenfurter Becken
Grundwasserkörper:         ;Klagenfurter Becken [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;04.11.1991
  Geländehöhe:             ;429.03
  Messpunkthöhe:           ;429.88
  Sohllage:                ;417.68
  T-Messtiefe u.GOK:       ;10.15
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
  gültig seit:             ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
   25.11.1991              ;14 23 57                 ;46 36 38
Exportzeitreihe:           ;GWTEP,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL
Einheit:                   ;°C
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;01.01.1966 00:00; bis ;01.01.2016 00:00
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;1 Nachkommast.
Werte:
01.11.1991 00:00:00   ;    11,2 ;     
01.12.1991 00:00:00   ;    10,8 ;     
01.01.1992 00:00:00   ;    10,8 ;     
01.02.1992 00:00:00   ;    11,2 ;     
01.03.1992 00:00:00   ;     9,9 ;     
01.04.1992 00:00:00   ;    10,0 ;     
01.05.1992 00:00:00   ;    10,7 ;     
01.06.1992 00:00:00   ;    11,2 ;     
01.07.1992 00:00:00   ;    10,6 ;     
01.08.1992 00:00:00   ;    10,7 ;     
01.09.1992 00:00:00   ;    10,9 ;     
01.10.1992 00:00:00   ;    11,2 ;     
01.11.1992 00:00:00   ;    11,6 ;     
01.12.1992 00:00:00   ;    10,8 ;     
01.01.1993 00:00:00   ;    10,7 ;     
01.02.1993 00:00:00   ;    11,0 ;     
01.03.1993 00:00:00   ;    10,3 ;     
01.04.1993 00:00:00   ;    10,1 ;     
01.05.1993 00:00:00   ;    10,1 ;     
01.06.1993 00:00:00   ;    10,1 ;     
01.07.1993 00:00:00   ;    10,8 ;     
01.08.1993 00:00:00   ;    11,4 ;     
01.09.1993 00:00:00   ;    12,3 ;     
01.10.1993 00:00:00   ;    12,0 ;     
01.11.1993 00:00:00   ;    11,5 ;     
01.12.1993 00:00:00   ;    11,2 ;     
01.01.1994 00:00:00   ;    10,8 ;     
01.02.1994 00:00:00   ;    10,2 ;     
01.03.1994 00:00:00   ;    10,4 ;     
01.04.1994 00:00:00   ;    10,4 ;     
01.05.1994 00:00:00   ;    10,8 ;     
01.06.1994 00:00:00   ;    10,7 ;     
01.07.1994 00:00:00   ;    11,3 ;     
01.08.1994 00:00:00   ;    10,9 ;     
01.09.1994 00:00:00   ;    11,4 ;     
01.10.1994 00:00:00   ;    11,3 ;     
01.11.1994 00:00:00   ;    11,3 ;     
01.12.1994 00:00:00   ;    11,3 ;     
01.01.1995 00:00:00   ;    10,6 ;     
01.02.1995 00:00:00   ;    10,4 ;     
01.03.1995 00:00:00   ;    10,0 ;     
01.04.1995 00:00:00   ;     9,8 ;     
01.05.1995 00:00:00   ;    10,4 ;     
01.06.1995 00:00:00   ;    10,5 ;     
01.07.1995 00:00:00   ;    10,9 ;     
01.08.1995 00:00:00   ;    10,8 ;     
01.09.1995 00:00:00   ;    11,3 ;     
01.10.1995 00:00:00   ;    12,0 ;     
01.11.1995 00:00:00   ;    11,6 ;     
01.12.1995 00:00:00   ;    10,6 ;     
01.01.1996 00:00:00   ;    10,4 ;     
01.02.1996 00:00:00   ;     9,9 ;     
01.03.1996 00:00:00   ;     9,6 ;     
01.04.1996 00:00:00   ;     9,8 ;     
01.05.1996 00:00:00   ;    10,0 ;     
01.06.1996 00:00:00   ;    10,3 ;     
01.07.1996 00:00:00   ;    10,6 ;     
01.08.1996 00:00:00   ;    11,1 ;     
01.09.1996 00:00:00   ;    11,5 ;     
01.10.1996 00:00:00   ;    12,0 ;     
01.11.1996 00:00:00   ;    11,8 ;     
01.12.1996 00:00:00   ;    11,2 ;     
01.01.1997 00:00:00   ;    10,7 ;     
01.02.1997 00:00:00   ;    10,4 ;     
01.03.1997 00:00:00   ;    10,0 ;     
01.04.1997 00:00:00   ;     9,5 ;     
01.05.1997 00:00:00   ;    10,0 ;     
01.06.1997 00:00:00   ;    10,6 ;     
01.07.1997 00:00:00   ;    10,5 ;     
01.08.1997 00:00:00   ;    11,2 ;     
01.09.1997 00:00:00   ;    11,4 ;     
01.10.1997 00:00:00   ;    11,2 ;     
01.11.1997 00:00:00   ;    11,1 ;     
01.12.1997 00:00:00   ;    11,2 ;     
01.01.1998 00:00:00   ;    10,2 ;     
01.02.1998 00:00:00   ;    10,8 ;     
01.03.1998 00:00:00   ;     9,9 ;     
01.04.1998 00:00:00   ;    10,3 ;     
01.05.1998 00:00:00   ;    10,1 ;     
01.06.1998 00:00:00   ;    10,5 ;     
01.07.1998 00:00:00   ;    10,8 ;     
01.08.1998 00:00:00   ;    11,1 ;     
01.09.1998 00:00:00   ;    11,5 ;     
01.10.1998 00:00:00   ;    11,7 ;     
01.11.1998 00:00:00   ;    11,9 ;     
01.12.1998 00:00:00   ;    11,7 ;     
01.01.1999 00:00:00   ;    10,8 ;     
01.02.1999 00:00:00   ;    10,6 ;     
